"Report_Name","Journal Article Requests"
"Report_ID","IR_A1"
"Release","5"
"Institution_Name","Johnson Matthey"
"Institution_ID","mu-0000036"
"Metric_Types","Total_Item_Requests"
"Report_Filters","Data_Type=Journal|Article; Access_Method=Regular"
"Report_Attributes",""
"Exceptions",""
"Reporting_Period","2018-01-01 to 2018-05-31"
"Created","2018-07-03"
"Created_By","MPS"

"Item","Publisher","Publisher_ID","Platform","Authors","Publication_Date","Article_Version","DOI","Proprietary_ID","ISBN","Print_ISSN","Online_ISSN","URI","Parent_Title","Parent_Data_Type","Parent_DOI","Parent_Proprietary_ID","Parent_ISBN","Parent_Print_ISSN","Parent_Online_ISSN","Parent_URI","Metric_Type","Reporting_Period_Total","Jan-2018","Feb-2018","Mar-2018","Apr-2018","May-2018"
"Organolithium-mediated cyclization reactions: a practical way to access hetero- and carbocycles","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7nj01763d","","","1144-0546","1369-9261","","New Journal of Chemistry","Journal","10.1039/1369-9261/1998","","","1144-0546","1369-9261","","Total_Item_Requests","1","0","0","0","1","0"
"The role of Lewis acid–base pair sites in ZnO–ZnCr2O4 catalysts for cyclization via dehydrogenative condensation of crude glycerol and 1,2-propanediamine for the synthesis of 2,6-dimethylpyrazine","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7nj01819c","","","1144-0546","1369-9261","","New Journal of Chemistry","Journal","10.1039/1369-9261/1998","","","1144-0546","1369-9261","","Total_Item_Requests","1","0","0","0","1","0"
"Hydroxylated carbon black as improved deposition support for discharge products in lithium air(oxygen)batteries","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7nj02282d","","","1144-0546","1369-9261","","New Journal of Chemistry","Journal","10.1039/1369-9261/1998","","","1144-0546","1369-9261","","Total_Item_Requests","1","0","0","0","1","0"
"Recent advances in organic reactions catalyzed by graphene oxide and sulfonated graphene as heterogeneous nanocatalysts: a review","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7nj02515g","","","1144-0546","1369-9261","","New Journal of Chemistry","Journal","10.1039/1369-9261/1998","","","1144-0546","1369-9261","","Total_Item_Requests","2","0","0","0","2","0"
"Oxidative amidation of benzaldehydes and benzylamines with N-substituted formamides over a Co/Al hydrotalcite-derived catalyst","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7nj03123h","","","1144-0546","1369-9261","","New Journal of Chemistry","Journal","10.1039/1369-9261/1998","","","1144-0546","1369-9261","","Total_Item_Requests","1","0","0","0","1","0"
"Size dependent reduction–oxidation–reduction behaviour of cobalt oxide nanocrystals","","","rsc.org","Royal Society of Chemistry","2013","","10.1039/c3nr02877a","","","2040-3364","2040-3372","","Nanoscale","Journal","10.1039/2040-3372/2009","","","2040-3364","2040-3372","","Total_Item_Requests","2","0","0","0","2","0"
"Exploiting shape effects of La2O3 nanocatalysts for oxidative coupling of methane reaction","","","rsc.org","Royal Society of Chemistry","2013","","10.1039/c3nr03617k","","","2040-3364","2040-3372","","Nanoscale","Journal","10.1039/2040-3372/2009","","","2040-3364","2040-3372","","Total_Item_Requests","1","0","0","0","1","0"
"Investigation into the fluorescence quenching behaviors and applications of carbon dots","","","rsc.org","Royal Society of Chemistry","2014","","10.1039/c4nr00029c","","","2040-3364","2040-3372","","Nanoscale","Journal","10.1039/2040-3372/2009","","","2040-3364","2040-3372","","Total_Item_Requests","1","0","0","0","1","0"
"Ionic liquid-assisted exfoliation and dispersion: stripping graphene and its two-dimensional layered inorganic counterparts of their inhibitions","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c4nr01524j","","","2040-3364","2040-3372","","Nanoscale","Journal","10.1039/2040-3372/2009","","","2040-3364","2040-3372","","Total_Item_Requests","1","0","0","0","1","0"
"One-pot pyrolysis of lithium sulfate and graphene nanoplatelet aggregates: in situ formed Li2S/graphene composite for lithium–sulfur batteries","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c5nr03201f","","","2040-3364","2040-3372","","Nanoscale","Journal","10.1039/2040-3372/2009","","","2040-3364","2040-3372","","Total_Item_Requests","1","0","0","0","1","0"
"The origin of emissive states of carbon nanoparticles derived from ensemble-averaged and single-molecular studies","","","rsc.org","Royal Society of Chemistry","2016","","10.1039/c6nr02669a","","","2040-3364","2040-3372","","Nanoscale","Journal","10.1039/2040-3372/2009","","","2040-3364","2040-3372","","Total_Item_Requests","2","0","0","0","2","0"
"Nanoprocess and nanoscale surface functionalization on cathode materials for advanced lithium-ion batteries","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7nr02600e","","","2040-3364","2040-3372","","Nanoscale","Journal","10.1039/2040-3372/2009","","","2040-3364","2040-3372","","Total_Item_Requests","1","0","0","0","1","0"
"Synthesis and chemical transformation of Ni nanoparticles embedded in silica","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7nr06379b","","","2040-3364","2040-3372","","Nanoscale","Journal","10.1039/2040-3372/2009","","","2040-3364","2040-3372","","Total_Item_Requests","0","0","0","0","0","0"
"A step towards understanding the beneficial influence of a LIPON-based artificial SEI on silicon thin film anodes in lithium-ion batteries","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c7nr06568j","","","2040-3364","2040-3372","","Nanoscale","Journal","10.1039/2040-3372/2009","","","2040-3364","2040-3372","","Total_Item_Requests","2","0","0","0","2","0"
"How graphene crosses a grain boundary on the catalyst surface during chemical vapour deposition growth","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c7nr06840a","","","2040-3364","2040-3372","","Nanoscale","Journal","10.1039/2040-3372/2009","","","2040-3364","2040-3372","","Total_Item_Requests","2","0","0","0","2","0"
"Anomalous thermoelectricity of pure ZnO from 3D continuous ultrathin nanoshell structures","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c7nr08167g","","","2040-3364","2040-3372","","Nanoscale","Journal","10.1039/2040-3372/2009","","","2040-3364","2040-3372","","Total_Item_Requests","1","0","0","0","1","0"
"Visualizing a core–shell structure of heavily doped silicon quantum dots by electron microscopy using an atomically thin support film","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c7nr09474d","","","2040-3364","2040-3372","","Nanoscale","Journal","10.1039/2040-3372/2009","","","2040-3364","2040-3372","","Total_Item_Requests","1","0","0","0","1","0"
"F-Doped carbon nano-onion films as scaffold for highly efficient and stable Li metal anodes: a novel laser direct-write process","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c7nr09656a","","","2040-3364","2040-3372","","Nanoscale","Journal","10.1039/2040-3372/2009","","","2040-3364","2040-3372","","Total_Item_Requests","2","0","0","0","2","0"
"Confined metal Ge quantum dots in carbon nanofibers for stable rechargeable batteries","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8nr00153g","","","2040-3364","2040-3372","","Nanoscale","Journal","10.1039/2040-3372/2009","","","2040-3364","2040-3372","","Total_Item_Requests","2","0","0","0","2","0"
"A bio-inspired dumbbell-shaped nanochannel with a controllable structure and ionic rectification","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8nr01191e","","","2040-3364","2040-3372","","Nanoscale","Journal","10.1039/2040-3372/2009","","","2040-3364","2040-3372","","Total_Item_Requests","0","0","0","0","0","0"
"Synthesis and crystal structure of [2 + 2] calixsalens","","","rsc.org","Royal Society of Chemistry","2006","","10.1039/b604003a","","","1477-0520","1477-0539","","Organic & Biomolecular Chemistry","Journal","10.1039/1477-0539/2003","","","1477-0520","1477-0539","","Total_Item_Requests","1","0","0","0","1","0"
"Stable organic azides based on rigid tetrahedral methane and adamantane structures as high energetic materials","","","rsc.org","Royal Society of Chemistry","2007","","10.1039/b713792c","","","1477-0520","1477-0539","","Organic & Biomolecular Chemistry","Journal","10.1039/1477-0539/2003","","","1477-0520","1477-0539","","Total_Item_Requests","1","0","0","0","1","0"
"Metal free catalytic hydroboration of multiple bonds in methanol using N-heterocyclic carbenes under open atmosphere","","","rsc.org","Royal Society of Chemistry","2013","","10.1039/c3ob41499j","","","1477-0520","1477-0539","","Organic & Biomolecular Chemistry","Journal","10.1039/1477-0539/2003","","","1477-0520","1477-0539","","Total_Item_Requests","0","0","0","0","0","0"
"Cooperative hydrolysis of aryl esters on functionalized membrane surfaces and in micellar solutions","","","rsc.org","Royal Society of Chemistry","2014","","10.1039/c4ob00247d","","","1477-0520","1477-0539","","Organic & Biomolecular Chemistry","Journal","10.1039/1477-0539/2003","","","1477-0520","1477-0539","","Total_Item_Requests","1","0","0","0","1","0"
"Organocatalytic synthesis of optically active ß-branched a-amino esters via asymmetric biomimetic transamination","","","rsc.org","Royal Society of Chemistry","2014","","10.1039/c4ob00684d","","","1477-0520","1477-0539","","Organic & Biomolecular Chemistry","Journal","10.1039/1477-0539/2003","","","1477-0520","1477-0539","","Total_Item_Requests","0","0","0","0","0","0"
"Pd(ii)-catalyzed, controllable C–H mono-/diarylation of aryl tetrazoles: concise synthesis of Losartan","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c4ob02453b","","","1477-0520","1477-0539","","Organic & Biomolecular Chemistry","Journal","10.1039/1477-0539/2003","","","1477-0520","1477-0539","","Total_Item_Requests","1","0","0","0","1","0"
"N-(1-Oxy-2-picolyl)oxalamic acids as a new type of O,O-ligands for the Cu-catalyzed N-arylation of azoles with aryl halides in water or organic solvent","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c5ob00045a","","","1477-0520","1477-0539","","Organic & Biomolecular Chemistry","Journal","10.1039/1477-0539/2003","","","1477-0520","1477-0539","","Total_Item_Requests","0","0","0","0","0","0"
"The expanding utility of continuous flow hydrogenation","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c5ob01067e","","","1477-0520","1477-0539","","Organic & Biomolecular Chemistry","Journal","10.1039/1477-0539/2003","","","1477-0520","1477-0539","","Total_Item_Requests","0","0","0","0","0","0"
"Effects of multivalent histamine supported on gold nanoparticles: activation of histamine receptors by derivatized histamine at subnanomolar concentrations","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c5ob01354b","","","1477-0520","1477-0539","","Organic & Biomolecular Chemistry","Journal","10.1039/1477-0539/2003","","","1477-0520","1477-0539","","Total_Item_Requests","1","0","0","0","1","0"
"Stereoelectronic effects in the reaction of aromatic substrates catalysed by Halomonas elongata transaminase and its mutants","","","rsc.org","Royal Society of Chemistry","2016","","10.1039/c6ob01629d","","","1477-0520","1477-0539","","Organic & Biomolecular Chemistry","Journal","10.1039/1477-0539/2003","","","1477-0520","1477-0539","","Total_Item_Requests","1","0","0","0","1","0"
"Structural insights into the ene-reductase synthesis of profens","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7ob00163k","","","1477-0520","1477-0539","","Organic & Biomolecular Chemistry","Journal","10.1039/1477-0539/2003","","","1477-0520","1477-0539","","Total_Item_Requests","1","0","0","0","1","0"
"Discovery of IDO1 and DNA dual targeting antitumor agents","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7ob02529g","","","1477-0520","1477-0539","","Organic & Biomolecular Chemistry","Journal","10.1039/1477-0539/2003","","","1477-0520","1477-0539","","Total_Item_Requests","0","0","0","0","0","0"
"Direct dihalo-alkoxylation of nitroalkenes leading to ß,ß-dihalo-ß-nitroethyl alkyl ethers","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8ob00408k","","","1477-0520","1477-0539","","Organic & Biomolecular Chemistry","Journal","10.1039/1477-0539/2003","","","1477-0520","1477-0539","","Total_Item_Requests","1","0","0","0","1","0"
"Recyclable cellulose-palladium nanoparticles for clean cross-coupling chemistry","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8ob00527c","","","1477-0520","1477-0539","","Organic & Biomolecular Chemistry","Journal","10.1039/1477-0539/2003","","","1477-0520","1477-0539","","Total_Item_Requests","2","0","0","0","2","0"
"Novel synthetic strategy of carbolines via palladium-catalyzed amination and arylation reaction","","","rsc.org","Royal Society of Chemistry","1999","","10.1039/a901088b","","","1364-5463","1472-7781","","Journal of the Chemical Society, Perkin Transactions 1","Journal","","","","1364-5463","1472-7781","","Total_Item_Requests","0","0","0","0","0","0"
"Indium-mediated reductive dehalogenation of a-halocarbonyl compounds in water?","","","rsc.org","Royal Society of Chemistry","2000","","10.1039/b005278g","","","1364-5463","1472-7781","","Journal of the Chemical Society, Perkin Transactions 1","Journal","","","","1364-5463","1472-7781","","Total_Item_Requests","1","0","0","0","1","0"
"Stoichiometric solvation effects. Part 3. Product–rate correlations for solvolyses of p-nitrophenyl chloroformate in alcohol–water mixtures","","","rsc.org","Royal Society of Chemistry","1998","","10.1039/a800179k","","","1364-5471","1472-779X","","Journal of the Chemical Society, Perkin Transactions 2","Journal","","","","1364-5471","1472-779X","","Total_Item_Requests","1","0","0","0","1","0"
"Highly photostable “super”-photoacids for ultrasensitive fluorescence spectroscopy","","","rsc.org","Royal Society of Chemistry","2014","","10.1039/c3pp50404b","","","1474-905X","1474-9092","","Photochemical & Photobiological Sciences","Journal","10.1039/1474-9092/2002","","","1474-905X","1474-9092","","Total_Item_Requests","1","0","0","0","1","0"
"Pluronic® block-copolymers in medicine: from chemical and biological versatility to rationalisation and clinical advances","","","rsc.org","Royal Society of Chemistry","2014","","10.1039/c4py00039k","","","1759-9954","1759-9962","","Polymer Chemistry","Journal","10.1039/1759-9962/2010","","","1759-9954","1759-9962","","Total_Item_Requests","1","0","0","0","1","0"
"Synthesis of donor–acceptor conjugated polymers based on benzo[1,2-b:4,5-b']dithiophene and 2,1,3-benzothiadiazole via direct arylation polycondensation: towards efficient C–H activation in nonpolar solvents","","","rsc.org","Royal Society of Chemistry","2014","","10.1039/c4py00565a","","","1759-9954","1759-9962","","Polymer Chemistry","Journal","10.1039/1759-9962/2010","","","1759-9954","1759-9962","","Total_Item_Requests","1","0","0","0","1","0"
"Copper complexes: the effect of ligands on their photoinitiation efficiencies in radical polymerization reactions under visible light","","","rsc.org","Royal Society of Chemistry","2014","","10.1039/c4py00925h","","","1759-9954","1759-9962","","Polymer Chemistry","Journal","10.1039/1759-9962/2010","","","1759-9954","1759-9962","","Total_Item_Requests","1","0","0","0","1","0"
"Cobalt nitrides as a class of metallic electrocatalysts for the oxygen evolution reaction","","","rsc.org","Royal Society of Chemistry","2016","","10.1039/c5qi00197h","","","","2052-1553","","Inorganic Chemistry Frontiers","Journal","10.1039/2052-1553/2014","","","","2052-1553","","Total_Item_Requests","1","0","0","0","1","0"
"Defect-driven oxygen reduction reaction (ORR) of carbon without any element doping","","","rsc.org","Royal Society of Chemistry","2016","","10.1039/c5qi00236b","","","","2052-1553","","Inorganic Chemistry Frontiers","Journal","10.1039/2052-1553/2014","","","","2052-1553","","Total_Item_Requests","2","0","0","0","2","0"
"Selective CO2 adsorption in water-stable alkaline-earth based metal–organic frameworks","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c7qi00734e","","","","2052-1553","","Inorganic Chemistry Frontiers","Journal","10.1039/2052-1553/2014","","","","2052-1553","","Total_Item_Requests","0","0","0","0","0","0"
"Understanding and suppressing side reactions in Li–air batteries","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7qm00353f","","","","2052-1537","","Materials Chemistry Frontiers","Journal","10.1039/2052-1537/2016","","","","2052-1537","","Total_Item_Requests","1","0","0","0","1","0"
"Direct borylation of benzyl alcohol and its analogues in the absence of bases","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c5qo00243e","","","","2052-4129","","Organic Chemistry Frontiers","Journal","10.1039/2052-4129/2014","","","","2052-4129","","Total_Item_Requests","1","0","0","0","1","0"
"Cobalt(ii)/(imidazoline–oxazoline)-catalyzed enantioselective Michael addition of 2-acetyl azaarenes to ß-CF3-ß-disubstituted nitroalkenes","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c6qo00562d","","","","2052-4129","","Organic Chemistry Frontiers","Journal","10.1039/2052-4129/2014","","","","2052-4129","","Total_Item_Requests","0","0","0","0","0","0"
"Copper-catalyzed direct borylation of alkyl, alkenyl and aryl halides with B(dan)","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7qo00084g","","","","2052-4129","","Organic Chemistry Frontiers","Journal","10.1039/2052-4129/2014","","","","2052-4129","","Total_Item_Requests","0","0","0","0","0","0"
"Acid promoted Ir–P^N complex catalyzed hydrogenation of heavily hindered 3,4-diphenyl-1,2-dihydronaphthalenes: asymmetric synthesis of lasofoxifene tartrate","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7qo00525c","","","","2052-4129","","Organic Chemistry Frontiers","Journal","10.1039/2052-4129/2014","","","","2052-4129","","Total_Item_Requests","0","0","0","0","0","0"
"A highly efficient one-enzyme protocol using ?-transaminase and an amino donor enabling equilibrium displacement assisted by molecular oxygen","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8qo00100f","","","","2052-4129","","Organic Chemistry Frontiers","Journal","10.1039/2052-4129/2014","","","","2052-4129","","Total_Item_Requests","0","0","0","0","0","0"
"Highly selective Pd@mpg-C3N4 catalyst for phenol hydrogenation in aqueous phase","","","rsc.org","Royal Society of Chemistry","2013","","10.1039/c3ra41397g","","","","2046-2069","","RSC Advances","Journal","10.1039/2046-2069/2011","","","","2046-2069","","Total_Item_Requests","1","0","0","0","1","0"
"In  situ Raman spectroscopy and thermal analysis of the formation of nitrogen-doped graphene from urea and graphite oxide","","","rsc.org","Royal Society of Chemistry","2013","","10.1039/c3ra42725k","","","","2046-2069","","RSC Advances","Journal","10.1039/2046-2069/2011","","","","2046-2069","","Total_Item_Requests","1","0","0","0","1","0"
"Synthesis of imines from amines in aliphatic alcohols on Pd/ZrO2 catalyst under ambient conditions","","","rsc.org","Royal Society of Chemistry","2014","","10.1039/c3ra44625e","","","","2046-2069","","RSC Advances","Journal","10.1039/2046-2069/2011","","","","2046-2069","","Total_Item_Requests","1","0","0","0","1","0"
"Asymmetric transfer hydrogenation of unsymmetrical benzils","","","rsc.org","Royal Society of Chemistry","2014","","10.1039/c3ra47129b","","","","2046-2069","","RSC Advances","Journal","10.1039/2046-2069/2011","","","","2046-2069","","Total_Item_Requests","1","0","0","0","1","0"
"A simple and sustainable tetrabutylammonium fluoride (TBAF)-catalyzed synthesis of azaarene-substituted 3-hydroxy-2-oxindoles through sp3 C–H functionalization","","","rsc.org","Royal Society of Chemistry","2014","","10.1039/c3ra47332e","","","","2046-2069","","RSC Advances","Journal","10.1039/2046-2069/2011","","","","2046-2069","","Total_Item_Requests","1","0","0","0","1","0"
"Hydroxyl and ester functionalized N-heterocyclic carbene complexes of iridium(i): efficient catalysts for transfer hydrogenation reactions","","","rsc.org","Royal Society of Chemistry","2014","","10.1039/c4ra02993c","","","","2046-2069","","RSC Advances","Journal","10.1039/2046-2069/2011","","","","2046-2069","","Total_Item_Requests","0","0","0","0","0","0"
"Half-sandwich complexes of ruthenium, osmium, rhodium and iridium with dl-methionine or S-methyl-l-cysteine: a solid state and solution equilibrium study","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c4ra15649h","","","","2046-2069","","RSC Advances","Journal","10.1039/2046-2069/2011","","","","2046-2069","","Total_Item_Requests","3","0","0","0","1","2"
"A novel FRET-based ratiometric fluorescent probe for highly sensitive detection of hydrogen sulfide","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c4ra16578k","","","","2046-2069","","RSC Advances","Journal","10.1039/2046-2069/2011","","","","2046-2069","","Total_Item_Requests","0","0","0","0","0","0"
"Large scale preparation of graphene quantum dots from graphite oxide in pure water via one-step electrochemical tailoring","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c4ra16805d","","","","2046-2069","","RSC Advances","Journal","10.1039/2046-2069/2011","","","","2046-2069","","Total_Item_Requests","1","0","0","0","1","0"
"Electrochemical exfoliation of graphite to produce graphene using tetrasodium pyrophosphate","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c5ra01304f","","","","2046-2069","","RSC Advances","Journal","10.1039/2046-2069/2011","","","","2046-2069","","Total_Item_Requests","0","0","0","0","0","0"
"Modified recycled concrete aggregates for asphalt mixture using microbial calcite precipitation","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c5ra04203h","","","","2046-2069","","RSC Advances","Journal","10.1039/2046-2069/2011","","","","2046-2069","","Total_Item_Requests","1","0","0","0","1","0"
"Hydrogen and oxygen activation by an iridium precursor containing the 4,5-bis(diphenylthiophosphinoyl)-1,2,3-triazolate ligand","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c5ra07698f","","","","2046-2069","","RSC Advances","Journal","10.1039/2046-2069/2011","","","","2046-2069","","Total_Item_Requests","0","0","0","0","0","0"
"Amino acid derived highly luminescent, heteroatom-doped carbon dots for label-free detection of Cd2+/Fe3+, cell imaging and enhanced antibacterial activity","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c5ra09525e","","","","2046-2069","","RSC Advances","Journal","10.1039/2046-2069/2011","","","","2046-2069","","Total_Item_Requests","0","0","0","0","0","0"
"Promoting effects of MgO and Pd modification on the catalytic performance of hierarchical porous ZSM-5 for catalyzing benzene alkylation with methanol","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c5ra12589h","","","","2046-2069","","RSC Advances","Journal","10.1039/2046-2069/2011","","","","2046-2069","","Total_Item_Requests","0","0","0","0","0","0"
"Polymerization mechanism of poly(ethylene glycol dimethacrylate) fragrance nanocapsules","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c5ra16292k","","","","2046-2069","","RSC Advances","Journal","10.1039/2046-2069/2011","","","","2046-2069","","Total_Item_Requests","0","0","0","0","0","0"
"Mesoporous carbons: recent advances in synthesis and typical applications","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c5ra16864c","","","","2046-2069","","RSC Advances","Journal","10.1039/2046-2069/2011","","","","2046-2069","","Total_Item_Requests","0","0","0","0","0","0"
"Corrosion protection of hydrophobic bisphenol A-based polybenzoxazine coatings on mild steel","","","rsc.org","Royal Society of Chemistry","2016","","10.1039/c5ra22980d","","","","2046-2069","","RSC Advances","Journal","10.1039/2046-2069/2011","","","","2046-2069","","Total_Item_Requests","1","0","0","0","1","0"
"Piperazine and DBU: a safer alternative for rapid and efficient Fmoc deprotection in solid phase peptide synthesis","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c5ra23441g","","","","2046-2069","","RSC Advances","Journal","10.1039/2046-2069/2011","","","","2046-2069","","Total_Item_Requests","3","0","0","0","1","2"
"Surface treatment and its effect on the electrochemical behavior of Ti–15Mo–3Nb–3Al alloy","","","rsc.org","Royal Society of Chemistry","2016","","10.1039/c6ra00934d","","","","2046-2069","","RSC Advances","Journal","10.1039/2046-2069/2011","","","","2046-2069","","Total_Item_Requests","5","0","0","0","5","0"
"Influence of over-discharge on the lifetime and performance of LiFePO4/graphite batteries","","","rsc.org","Royal Society of Chemistry","2016","","10.1039/c6ra01677d","","","","2046-2069","","RSC Advances","Journal","10.1039/2046-2069/2011","","","","2046-2069","","Total_Item_Requests","1","0","0","0","1","0"
"Study of mesoporous magnesium carbonate in contact with whole human blood","","","rsc.org","Royal Society of Chemistry","2016","","10.1039/c6ra05679b","","","","2046-2069","","RSC Advances","Journal","10.1039/2046-2069/2011","","","","2046-2069","","Total_Item_Requests","1","0","0","0","1","0"
"DFT study on the quenching mechanism of singlet oxygen by lycopene","","","rsc.org","Royal Society of Chemistry","2016","","10.1039/c6ra19639j","","","","2046-2069","","RSC Advances","Journal","10.1039/2046-2069/2011","","","","2046-2069","","Total_Item_Requests","1","0","0","0","1","0"
"Three-dimensional nitrogen and boron codoped graphene for carbon dioxide and oils adsorption","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c6ra22297h","","","","2046-2069","","RSC Advances","Journal","10.1039/2046-2069/2011","","","","2046-2069","","Total_Item_Requests","1","0","0","0","1","0"
"Microwave-assisted sonochemical synthesis of Cu and Mn doped GSH–ZnS polypeptide quantum dots and their enhanced photoelectrochemical properties","","","rsc.org","Royal Society of Chemistry","2016","","10.1039/c6ra22634e","","","","2046-2069","","RSC Advances","Journal","10.1039/2046-2069/2011","","","","2046-2069","","Total_Item_Requests","1","0","0","0","1","0"
"A new tool for NMR analysis of complex systems: selective pure shift TOCSY","","","rsc.org","Royal Society of Chemistry","2016","","10.1039/c6ra22807k","","","","2046-2069","","RSC Advances","Journal","10.1039/2046-2069/2011","","","","2046-2069","","Total_Item_Requests","1","0","0","0","1","0"
"Synthesis of SAPO-18/34 intergrowth zeolites and their enhanced stability for dimethyl ether to olefins","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c6ra25080g","","","","2046-2069","","RSC Advances","Journal","10.1039/2046-2069/2011","","","","2046-2069","","Total_Item_Requests","1","0","0","0","1","0"
"Rhodium(i) diphenylphosphine complexes supported on porous organic polymers as efficient and recyclable catalysts for alkene hydrogenation","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c6ra26104c","","","","2046-2069","","RSC Advances","Journal","10.1039/2046-2069/2011","","","","2046-2069","","Total_Item_Requests","0","0","0","0","0","0"
"Highly selective synthesis of large aromatic molecules with nano-zeolite: beyond the shape selectivity effect","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c6ra28844h","","","","2046-2069","","RSC Advances","Journal","10.1039/2046-2069/2011","","","","2046-2069","","Total_Item_Requests","1","0","0","0","1","0"
"Discovery of phosphorodiamidate mustard-based O  2-phosphorylated diazeniumdiolates with potent anticancer activity","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7ra00401j","","","","2046-2069","","RSC Advances","Journal","10.1039/2046-2069/2011","","","","2046-2069","","Total_Item_Requests","0","0","0","0","0","0"
"Promotional effect of lanthana on the high-temperature thermal stability of Pt/TiO2 sulfur-resistant diesel oxidation catalysts","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7ra00582b","","","","2046-2069","","RSC Advances","Journal","10.1039/2046-2069/2011","","","","2046-2069","","Total_Item_Requests","4","0","0","0","1","3"
"Quantitative investigation of the decomposition of organic lithium ion battery electrolytes with LC-MS/MS","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7ra03839a","","","","2046-2069","","RSC Advances","Journal","10.1039/2046-2069/2011","","","","2046-2069","","Total_Item_Requests","2","0","0","0","2","0"
"Influence of integrated microstructure on the performance of LiNi0.8Co0.15Al0.05O2 as a cathodic material for lithium ion batteries","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7ra04206j","","","","2046-2069","","RSC Advances","Journal","10.1039/2046-2069/2011","","","","2046-2069","","Total_Item_Requests","1","0","0","0","1","0"
"Cobalt(ii)/nickel(ii) separation from sulfate media by solvent extraction with an undiluted quaternary phosphonium ionic liquid","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7ra04753c","","","","2046-2069","","RSC Advances","Journal","10.1039/2046-2069/2011","","","","2046-2069","","Total_Item_Requests","0","0","0","0","0","0"
"Porous carbon with large surface area derived from a metal–organic framework as a lithium-ion battery anode material","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7ra05090a","","","","2046-2069","","RSC Advances","Journal","10.1039/2046-2069/2011","","","","2046-2069","","Total_Item_Requests","0","0","0","0","0","0"
"Mn/SAPO-34 as an efficient catalyst for the low-temperature selective catalytic reduction of NO  x   with NH3","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7ra05165d","","","","2046-2069","","RSC Advances","Journal","10.1039/2046-2069/2011","","","","2046-2069","","Total_Item_Requests","1","0","0","0","1","0"
"Effect of paramagnetic species on T  1, T  2 and T  1/T  2 NMR relaxation times of liquids in porous CuSO4/Al2O3","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7ra07165e","","","","2046-2069","","RSC Advances","Journal","10.1039/2046-2069/2011","","","","2046-2069","","Total_Item_Requests","2","0","0","0","1","1"
