"Report_Name","Journal Article Requests"
"Report_ID","IR_A1"
"Release","5"
"Institution_Name","Stanford University"
"Institution_ID","rsc:2472"
"Metric_Types","Total_Item_Requests"
"Report_Filters","Data_Type=Journal|Article; Section_Type=Article; Access_Method=Regular"
"Report_Attributes",""
"Exceptions",""
"Reporting_Period","Begin_Date=2018-01-01; End_Date=2018-06-30"
"Created","2018-08-22"
"Created_By","MPS"

"Item","Publisher","Publisher_ID","Platform","Authors","Publication_Date","Article_Version","DOI","Proprietary_ID","ISBN","Print_ISSN","Online_ISSN","URI","Parent_Title","Parent_Data_Type","Parent_DOI","Parent_Proprietary_ID","Parent_ISBN","Parent_Print_ISSN","Parent_Online_ISSN","Parent_URI","Metric_Type","Reporting_Period_Total","Jan-2018","Feb-2018","Mar-2018","Apr-2018","May-2018","Jun-2018"
"DFT/TDDFT investigation on the UV-vis absorption and fluorescence properties of alizarin dye","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c4cp04728a","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"Representing the potential-energy surface of protonated water clusters by high-dimensional neural network potentials","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c4cp04751f","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"Site and chirality selective chemical modifications of boron nitride nanotubes (BNNTs) via Lewis acid–base interactions","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c4cp04790g","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","3","0","0","0","0","0","3"
"In situ Raman and surface-enhanced Raman spectroscopy on working electrodes: spectroelectrochemical characterization of water oxidation electrocatalysts","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c4cp05053c","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","2","0","0","0","0","0","2"
"Exploring the binding mechanisms of MIF to CXCR2 using theoretical approaches","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c4cp05095a","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","2","0","0","0","0","0","2"
"Stress effects on the initial lithiation of crystalline silicon nanowires: reactive molecular dynamics simulations using ReaxFF","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c4cp05198j","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","4","0","0","0","0","0","4"
"Monte-Carlo simulations of spin-crossover phenomena based on a vibronic Ising-like model with realistic parameters","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c4cp05562d","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","2","0","0","0","0","0","2"
"Carrier dynamics of a visible-light-responsive Ta3N5 photoanode for water oxidation","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c4cp05616g","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"Monitoring ultrafast intramolecular proton transfer processes in an unsymmetric ß-diketone","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c4cp05811a","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"Electrochemical in situ investigations of SEI and dendrite formation on the lithium metal anode","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c4cp05865h","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","4","0","0","0","0","0","4"
"Native silica nanoparticles are powerful membrane disruptors","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c4cp05882h","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"Polaron stability in molecular semiconductors: theoretical insight into the impact of the temperature, electric field and the system dimensionality","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c4cp06028h","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"The dual role of palladium in enhancing the photocatalytic activity of CdS dispersed on NaY-zeolite","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c4cp06105e","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"Organic nanoparticles of malachite green with enhanced far-red emission: size-dependence of particle rigidity","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp00031a","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"Coverage dependent water dissociative adsorption on Fe(110) from DFT computation","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp00044k","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"Electrochemical and physicochemical properties of small phosphonium cation ionic liquid electrolytes with high lithium salt content","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp00205b","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","2","0","0","0","0","0","2"
"A review of methods for the calculation of solution free energies and the modelling of systems in solution","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp00288e","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"In situ strain evolution during a disconnection event in a battery nanoparticle","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp00372e","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"Mixed quantum-classical dynamics for charge transport in organics","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp00485c","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","2","0","0","0","0","0","2"
"Solvent-dependent structure of molecular iodine probed by picosecond X-ray solution scattering","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp00536a","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"Mesoscale simulation of the formation and dynamics of lipid-structured poly(ethylene oxide)-block-poly(methyl methacrylate) diblock copolymers","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp00561b","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"Strong field laser control of photochemistry","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp00627a","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","2","0","0","0","0","0","2"
"The doping effect on the catalytic activity of graphene for oxygen evolution reaction in a lithium–air battery: a first-principles study","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp00869g","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"Reactive simulation of the chemistry behind the condensed-phase ignition of RDX from hot spots","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp00950b","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","5","0","0","0","0","0","5"
"High-resolution X-ray absorption spectroscopy of iron carbonyl complexes","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp01045d","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","2","0","0","0","0","0","2"
"Intense NIR emissions at 0.8 µm, 1.47 µm, and 1.53 µm from colloidal LiYbF4:Ln3+ (Ln = Tm3+ and Er3+) nanocrystals","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp01083g","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","6","0","0","0","0","0","6"
"Visible room-temperature phosphorescence of pure organic crystals via a radical-ion-pair mechanism","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp01203a","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"A systematic study of metal-supported boron nitride materials for the oxygen reduction reaction","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp01384d","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","2","0","0","0","0","0","2"
"Understanding the role of iron in the magnetism of Fe doped ZnO nanoparticles","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp01408e","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"Pressure and electric field-induced metallization in the phase-engineered ZrX2 (X = S, Se, Te) bilayers","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp01445j","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","4","0","0","0","0","0","4"
"Phosphorene as an anode material for Na-ion batteries: a first-principles study","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp01502b","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"Nanoparticles in ionic liquids: interactions and organization","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp01620g","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","2","0","0","0","0","0","2"
"First principles study of the atomic layer deposition of alumina by TMA–H2O-process","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp01912e","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","6","0","0","0","0","0","6"
"Controlling the thermoelectric properties of polymers: application to PEDOT and polypyrrole","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp01940k","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","3","0","0","0","0","0","3"
"Controlling pyridinic, pyrrolic, graphitic, and molecular nitrogen in multi-wall carbon nanotubes using precursors with different N/C ratios in aerosol assisted chemical vapor deposition","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp01981h","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"Surface modification of semiconductor photoelectrodes","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp01992c","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","3","0","0","0","0","0","3"
"Synthesis and thermodynamics of Ag–Cu nanoparticles","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp02058a","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"Identification of intrinsic catalytic activity for electrochemical reduction of water molecules to generate hydrogen","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp02330k","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","2","0","0","0","0","0","2"
"Concepts in bio-molecular spectroscopy: vibrational case studies on metalloenzymes","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp02447a","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"Characterization of an abnormal photoluminescence behavior upon crystal-phase transition of perovskite CH3NH3PbI3","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp02605a","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"Complexation dynamics of CH3SCN and Li+ in acetonitrile studied by two-dimensional infrared spectroscopy","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp02833g","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"Electrochemical reduction of CO2 to ethylene glycol on imidazolium ion-terminated self-assembly monolayer-modified Au electrodes in an aqueous solution","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp03028e","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"Thickness-dependent phase boundary in Sm-doped BiFeO3 piezoelectric thin films on Pt/Ti/SiO2/Si substrates","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp03080c","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"Intrinsic defects in a photovoltaic perovskite variant Cs2SnI6","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp03102h","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"Effects of electrolyte, catalyst, and membrane composition and operating conditions on the performance of solar-driven electrochemical reduction of carbon dioxide","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp03283k","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","6","0","0","0","0","0","6"
"Structural and aggregate analyses of (Li salt + glyme) mixtures: the complex nature of solvate ionic liquids","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp03414k","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","2","0","0","0","0","0","2"
"SEI-component formation on sub 5 nm sized silicon nanoparticles in Li-ion batteries: the role of electrode preparation, FEC addition and binders","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp03672k","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","2","0","0","0","0","0","2"
"Ab initio calculation of electronic charge mobility in metal–organic frameworks","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp03920g","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"Mechanistic insights into nitrogen fixation by nitrogenase enzymes","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp04034e","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","6","0","0","0","0","0","6"
"A critical assessment of methods to recover information from averaged data","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2016","0","10.1039/c5cp04077a","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"Initial stages of water solvation of stepped platinum surfaces","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2016","0","10.1039/c5cp04468e","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","2","0","0","0","0","0","2"
"Theoretical maximum efficiency of solar energy conversion in plasmonic metal–semiconductor heterojunctions","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp04512f","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","3","0","0","0","0","0","3"
"Pressure-responsive mesoscopic structures in room temperature ionic liquids","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp04682c","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","3","0","0","0","0","0","3"
"Mechanistic studies of pyridinium electrochemistry: alternative chemical pathways in the presence of CO2","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2016","0","10.1039/c5cp04757a","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"Tuning oxide activity through modification of the crystal and electronic structure: from strain to potential polymorphs","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp04840k","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"The effect of Mg2+ incorporation on the structure of calcium carbonate clusters: investigation by the anharmonic downward distortion following method","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2016","0","10.1039/c5cp05139h","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"Accelerated nanoparticles synthesis in alcohol–water-mixture-based solution plasma","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp05168a","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"An introduction to the chemistry of graphene","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp05212b","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"Fluorescence of nitrobenzoxadiazole (NBD)-labeled lipids in model membranes is connected not to lipid mobility but to probe location","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2016","0","10.1039/c5cp05238f","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"Nanostructured Ir-supported on Ti4O7 as a cost-effective anode for proton exchange membrane (PEM) electrolyzers","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2016","0","10.1039/c5cp05296c","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","2","0","0","0","0","0","2"
"Improving the electrochemical properties of LiNi0.5Co0.2Mn0.3O2 at 4.6 V cutoff potential by surface coating with Li2TiO3 for lithium-ion batteries","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp05319f","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"Dual-fluorescence pH probe for bio-labelling","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp05454k","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","2","0","0","0","0","0","2"
"Self-powered broadband, high-detectivity and ultrafast photodetectors based on Pd-MoS2/Si heterojunctions","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2016","0","10.1039/c5cp05642j","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"The effect of electrolyte composition on the electroreduction of CO2 to CO on Ag based gas diffusion electrodes","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2016","0","10.1039/c5cp05665a","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","2","0","0","0","0","0","2"
"The tricyanomethanide anion favors low viscosity of the pure ionic liquid and its aqueous mixtures","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp05666g","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"Interfacial band alignment for photocatalytic charge separation in TiO2 nanotube arrays coated with CuPt nanoparticles","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5cp05679a","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"The CO oxidation mechanism on the W(111) surface and the W helical nanowire investigated by the density functional theory calculation","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2016","0","10.1039/c5cp05681k","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"CoO  x   thin film deposited by CVD as efficient water oxidation catalyst: change of oxidation state in XPS and its correlation to electrochemical activity","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2016","0","10.1039/c5cp05691h","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"Self-interaction error in DFT-based modelling of ionic liquids","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2016","0","10.1039/c5cp05922d","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"Experimental and computational evaluation of the barrier to torsional rotation in a butadiyne-linked porphyrin dimer","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2016","0","10.1039/c5cp06167a","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"Direct calculation of the X-ray structure factor of ionic liquids","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2016","0","10.1039/c5cp06199g","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","3","0","0","0","0","0","3"
"Insights into the reaction mechanism of 3-O-sulfotransferase through QM/MM calculations","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2016","0","10.1039/c5cp06224a","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"Raman spectroscopic features of the neutral vacancy in diamond from ab initio quantum-mechanical calculations","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2016","0","10.1039/c5cp06672g","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"Predictive morphology, stoichiometry and structure of surface species in supported Ru nanoparticles under H2 and CO atmospheres from combined experimental and DFT studies","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2016","0","10.1039/c5cp06710c","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"Augmented Z scheme blueprint for efficient solar water splitting system using quaternary chalcogenide absorber material","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2016","0","10.1039/c5cp06807j","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
"O2 adsorption and dissociation on an anatase (101) surface with a subsurface Ti interstitial","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2016","0","10.1039/c5cp06958k","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","0","1"
